1.0 -2.017 0.999 0.023 0.0015
1.1 -2.014 0.998 0.038 0.0029
1.2 -2.008 0.9969 0.06584 0.0058
1.3 -2.000 0.994 0.103 0.0103
1.4 -1.988 0.991 0.1418 0.0165
1.5 -1.97  0.986 0.194 0.0262
1.6 -1.947 0.979 0.251 0.040
1.7 -1.917 0.970 0.349 0.0683
1.8 -1.878 0.956 0.447 0.1199
1.9 -1.827 0.937 0.544 0.1937
2.0 -1.769 0.912 0.7104 0.357
2.1 -1.679 0.8674 0.975 1.003
2.2 -1.561 0.797 1.268 2.677
2.3 -1.412 0.006  1.654 78.053
2.4 -1.257 0.011  1.361 43.061
2.5 -1.137 0.005  1.008 23.086
2.6 -1.0508 0.0037  0.7664 13.402
2.7 -0.984 0.0015   0.621 8.828
2.8 -0.93  0.001   0.543 6.643
2.9 -0.878 0.005   0.4532  4.814
3.0 -0.837 0.001   0.413 3.874
